mean_speed,max_acceleration,course_changes,modal
0.786198,0.374011,40,walk
0.751405,0.506211,33,walk
0.800336,0.010856,21,walk
0.310829,0.719328,7,walk
0.248709,0.338565,1,walk
0.425127,0.533473,1,walk
0.362059,0.194155,0,walk
0.302867,0.417798,0,walk
0.717691,0.321364,28,walk
0.957337,0.439607,46,walk
1.179711,0.042114,55,walk
0.993966,0.025407,39,walk
1.069839,0.072625,49,walk
0.381258,0.348782,15,walk
0.027384,0.155415,0,walk
0.439874,0.321598,6,walk
0.483358,0.46555,13,walk
1.132142,0.101313,26,walk
1.0117,0.144069,33,walk
0.639433,0.143473,30,walk
0.157318,0.584212,9,walk
1.153125,0.012702,38,walk
0.916869,0.038858,45,walk
0.839434,0.273557,12,walk
0.949809,0.224042,44,walk
1.095637,0.074199,59,walk
0.991795,0.823814,40,walk
1.170626,0.076146,42,walk
1.010804,0.059014,43,walk
1.344385,0.056839,46,walk
1.045323,0.127504,41,walk
0.706924,0.285717,40,walk
0.915504,0.705596,21,walk
0.195286,0.359005,0,walk
0.628845,0.522965,21,walk
0.870778,0.427393,25,walk
0.948155,0.261881,45,walk
0.244706,0.309043,7,walk
0.745611,0.470354,20,walk
1.477475,0.059165,27,walk
1.137528,0.405,18,walk
0.67607,0.71407,15,walk
1.09572,0.026555,29,walk
1.129541,0.010795,27,walk
1.038786,0.017197,36,walk
1.054783,0.015857,25,walk
1.060468,0.022851,30,walk
1.163189,0.011526,29,walk
1.082101,0.019438,19,walk
0.896768,0.118671,26,walk
1.255783,0.078823,22,walk
1.232281,0.011787,14,walk
1.226315,0.527186,19,walk
1.399745,0.085221,43,walk
1.477817,0.123426,38,walk
1.068422,0.064705,57,walk
0.350433,0.41621,20,walk
0.991623,0.054799,44,walk
1.178872,0.390246,44,walk
0.230175,0.338888,0,walk
0.929201,0.215855,29,walk
0.558557,0.188113,25,walk
0.088557,0.358442,0,walk
0.873338,0.393439,29,walk
0.815822,0.103643,17,walk
0.408278,0.251805,12,walk
0.483296,0.997434,2,walk
1.084552,0.246084,35,walk
1.205815,0.135905,30,walk
1.182705,0.299479,31,walk
1.594787,0.047334,20,walk
0.550982,0.559883,15,walk
1.089278,2.462102,19,walk
0.902472,0.20636,24,walk
1.141906,1.235159,7,walk
0.583073,0.174651,16,walk
0.342176,0.698345,3,walk
0.748481,0.543663,17,walk
0.741998,0.511344,19,walk
0.820206,0.358659,34,walk
0.629354,0.174518,27,walk
0.618894,0.203922,16,walk
0.477272,0.504558,11,walk
0.418201,0.223873,4,walk
0.714219,0.222911,6,walk
0.611829,0.223632,17,walk
0.55984,0.168146,6,walk
0.628749,0.274645,13,walk
0.624183,0.178589,0,walk
0.850389,0.413804,15,walk
0.645288,0.335659,18,walk
0.770778,0.271778,33,walk
0.744661,0.524434,28,walk
0.660347,0.258973,11,walk
1.105807,0.179933,3,walk
1.30625,0.117637,36,walk
1.29276,0.124835,34,walk
1.294243,0.514232,38,walk
1.437592,0.426556,27,walk
1.074614,0.414587,31,walk
1.208241,0.324564,33,walk
0.880859,0.174565,25,walk
0.20085,1.309232,3,walk
0.45688,0.620445,13,walk
0.515851,0.412985,11,walk
0.238322,0.688896,4,walk
0.546189,0.282636,14,walk
1.259632,0.118747,36,walk
1.153304,0.119133,30,walk
0.988118,0.066842,39,walk
1.009688,0.201781,34,walk
1.139304,0.543956,29,walk
1.016911,0.191467,38,walk
0.634156,0.223089,23,walk
1.129937,0.084505,40,walk
1.052906,0.101641,40,walk
1.536917,0.171554,10,walk
0.858016,0.47514,25,walk
0.988695,0.089786,42,walk
0.983466,0.305664,26,walk
1.241923,0.069975,41,walk
1.182576,0.070719,41,walk
1.250001,0.069388,31,walk
0.256187,0.005415,0,walk
8.621066,1.494624,1,bus
4.648028,1.201079,3,bus
1.15649,0.914406,2,bus
1.795407,0.780919,1,bus
2.663689,1.302502,12,bus
2.734894,1.641982,7,bus
1.374775,1.88241,0,bus
6.199034,1.783039,5,bus
4.199113,1.810108,0,bus
4.886509,0.619639,8,bus
1.576082,0.61413,3,bus
0.533618,0.397885,0,bus
2.018185,1.18707,2,bus
7.367053,2.120185,2,bus
2.74178,1.080225,0,bus
2.966441,1.0096,5,bus
1.743457,0.609321,2,bus
2.475958,1.601061,2,bus
2.94277,1.820721,0,bus
0.945392,1.07317,17,bus
8.26651,2.1078,5,bus
5.246762,1.245543,0,bus
3.313999,1.475065,2,bus
3.083715,3.695414,6,bus
3.149805,1.016678,5,bus
2.483691,0.523118,3,bus
0.476493,0.632207,10,bus
2.217731,2.863852,8,bus
2.294449,1.358759,0,bus
2.94738,1.113422,0,bus
4.622322,2.519135,0,bus
1.863362,0.869896,12,bus
0.12098,0.174646,10,bus
3.172503,1.155693,10,bus
3.215968,1.96571,2,bus
4.606835,3.233352,5,bus
2.971302,1.578069,0,bus
8.667738,1.409706,3,bus
3.228137,1.276198,6,bus
1.532898,2.205817,0,bus
2.393438,0.58963,15,bus
6.420253,1.701239,11,bus
11.970494,1.701659,13,bus
2.842547,2.660227,12,bus
9.516747,1.929511,12,bus
3.095149,1.32789,2,bus
3.464775,1.789024,7,bus
6.193645,0.79118,7,bus
0.270285,2.352476,1,bus
2.759825,1.389463,4,bus
3.177252,1.454425,1,bus
3.415435,1.727327,2,bus
3.363365,2.235813,2,bus
1.939611,1.346309,9,bus
1.266898,1.359385,0,bus
1.77393,0.955098,2,bus
5.572027,1.756134,2,bus
2.80596,1.487281,5,bus
2.446655,2.310996,0,bus
2.19395,2.111442,0,bus
0.414598,1.538616,0,bus
